<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;230202;000000;152.72;153.86;151.1;151.64;5707900
GMKN;D;230203;000000;151.44;151.56;149.2;149.9;7334500
GMKN;D;230206;000000;150.1;150.18;148.4;149.42;10285700
GMKN;D;230207;000000;149.5;150;148.02;149.6;8034800
GMKN;D;230208;000000;149.62;151.38;148.16;148.52;9010700
GMKN;D;230209;000000;148.78;149.98;148.14;149.18;6847100
GMKN;D;230210;000000;148.9;149.38;146.22;148.4;13011900
GMKN;D;230213;000000;148.32;149.86;147.94;148.92;5077900
GMKN;D;230214;000000;148.86;149.52;147.6;147.6;5110800
GMKN;D;230215;000000;147.54;148.44;144.02;145;11051500
GMKN;D;230216;000000;145.98;147.38;143.16;143.98;8710900
GMKN;D;230217;000000;143.48;145.1;142.82;144.78;5269800
GMKN;D;230220;000000;144.76;146.28;142.6;145.4;5969700
GMKN;D;230221;000000;145.64;147.3;145.34;147.1;5146600
GMKN;D;230222;000000;147.4;147.92;144.44;144.74;6289500
GMKN;D;230224;000000;144.7;145.3;143.5;143.9;5140200
GMKN;D;230227;000000;143.7;145.98;143.18;145.78;6443200
GMKN;D;230228;000000;146.26;146.28;144.18;144.98;5046000
GMKN;D;230301;000000;145.22;148;144.62;147.34;7735200
GMKN;D;230302;000000;147.18;147.34;144.6;145.1;6832500
GMKN;D;230303;000000;145.12;145.84;144.5;145.62;3275300
GMKN;D;230306;000000;145.96;146.5;145;145.6;6717800
GMKN;D;230307;000000;145.7;147.84;145.22;146.76;7566900
GMKN;D;230309;000000;146.76;147.6;145.02;145.86;7809100
GMKN;D;230310;000000;145.48;146.6;144.7;145.76;4359400
GMKN;D;230313;000000;146.2;147.2;145.04;145.54;5128600
GMKN;D;230314;000000;145.36;146.08;145.1;145.56;4062000
GMKN;D;230315;000000;145.58;145.92;143.7;144.64;5267400
GMKN;D;230316;000000;144.7;145.36;143;144.42;7880200
GMKN;D;230317;000000;144.9;146.16;143.34;145.6;8282500
