<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;230202;000000;4648;4739;4619.5;4694;257608
MGNT;D;230203;000000;4702;4707;4625;4665;148739
MGNT;D;230206;000000;4674;4748.5;4664;4720;160629
MGNT;D;230207;000000;4730;4774;4708.5;4757;156444
MGNT;D;230208;000000;4766;4796;4500;4698;331035
MGNT;D;230209;000000;4702;4739;4660;4696;119913
MGNT;D;230210;000000;4690;4755;4665;4683.5;138874
MGNT;D;230213;000000;4691.5;4710;4683.5;4689;72382
MGNT;D;230214;000000;4687;4702.5;4605;4621;129861
MGNT;D;230215;000000;4609.5;4619;4355.5;4432.5;283254
MGNT;D;230216;000000;4465;4513.5;4382.5;4430;174322
MGNT;D;230217;000000;4411.5;4465.5;4392;4447.5;86290
MGNT;D;230220;000000;4448;4490;4405.5;4481.5;76301
MGNT;D;230221;000000;4491;4590;4466;4566;133546
MGNT;D;230222;000000;4569.5;4579;4508;4549.5;91645
MGNT;D;230224;000000;4549.5;4596;4545;4559.5;60449
MGNT;D;230227;000000;4537;4650;4512;4643;105737
MGNT;D;230228;000000;4660.5;4677;4571.5;4594;155006
MGNT;D;230301;000000;4604;4611.5;4527;4567;312679
MGNT;D;230302;000000;4567;4568;4490.5;4524;144749
MGNT;D;230303;000000;4521.5;4558.5;4512;4546.5;81957
MGNT;D;230306;000000;4561;4574;4540.5;4559;89805
MGNT;D;230307;000000;4559;4568.5;4520;4553;80678
MGNT;D;230309;000000;4554.5;4588;4545.5;4551.5;91693
MGNT;D;230310;000000;4540.5;4550;4495;4524;142291
MGNT;D;230313;000000;4529;4554.5;4500;4527.5;95047
MGNT;D;230314;000000;4527.5;4554.5;4515;4539.5;101797
MGNT;D;230315;000000;4543.5;4570;4456;4500;155611
MGNT;D;230316;000000;4511.5;4512;4455.5;4492;124163
MGNT;D;230317;000000;4492.5;4522;4477;4504;109495
MGNT;D;230320;000000;4509;4564;4485;4562.5;260310
MGNT;D;230321;000000;4564;4596.5;4495;4518;224633
MGNT;D;230322;000000;4520.5;4538;4502;4510;78624
MGNT;D;230323;000000;4516;4528;4471.5;4491;136175
MGNT;D;230324;000000;4490.5;4506;4477;4495;84586
MGNT;D;230327;000000;4504;4542;4495;4516;233690
MGNT;D;230328;000000;4526.5;4567;4502;4512.5;225086
MGNT;D;230329;000000;4513;4555;4495;4527.5;244670
MGNT;D;230330;000000;4528.5;4587.5;4522;4583;177612
MGNT;D;230331;000000;4591;4700;4582;4610;656378
MGNT;D;230403;000000;4634.5;4672;4550;4582;281753
MGNT;D;230404;000000;4584;4624;4555;4565;212000
MGNT;D;230405;000000;4577;4577;4512;4554;134549
MGNT;D;230406;000000;4561;4586;4552.5;4571.5;106000
MGNT;D;230407;000000;4572;4592;4562;4574;101656
MGNT;D;230410;000000;4579;4628;4579;4624;145355
MGNT;D;230411;000000;4626.5;4648.5;4539.5;4552.5;329281
MGNT;D;230412;000000;4552.5;4590;4526.5;4576.5;170795
MGNT;D;230413;000000;4579;4605;4530.5;4555;139203
MGNT;D;230414;000000;4554;4588.5;4532.5;4575;103384
MGNT;D;230417;000000;4623;4678;4590;4677.5;273777
MGNT;D;230418;000000;4687;4847.5;4678;4844.5;573093
MGNT;D;230419;000000;4844;4893;4670;4730.5;565748
MGNT;D;230420;000000;4732;4859.5;4731;4806.5;697439
MGNT;D;230421;000000;4833.5;4847.5;4785;4808;152110
MGNT;D;230424;000000;4827.5;4858;4800.5;4817.5;165896
MGNT;D;230425;000000;4820;4832;4773.5;4789;125547
MGNT;D;230426;000000;4793.5;4817.5;4727;4756.5;188653
MGNT;D;230427;000000;4756.5;4784.5;4731;4765;149594
MGNT;D;230428;000000;4771;4777;4680;4686.5;174536
MGNT;D;230502;000000;4688.5;4703.5;4562.5;4585.5;333442
MGNT;D;230503;000000;4595.5;4600;4411;4442;315909
MGNT;D;230504;000000;4459.5;4509;4387;4450;216767
MGNT;D;230505;000000;4441;4482;4398.5;4422.5;177922
MGNT;D;230508;000000;4430;4473.5;4412.5;4416;72113
MGNT;D;230510;000000;4422.5;4546.5;4417.5;4529.5;168719
MGNT;D;230511;000000;4538.5;4588;4460;4518;231188
MGNT;D;230512;000000;4525;4544.5;4440;4470.5;215810
MGNT;D;230515;000000;4483;4540;4478;4519.5;160095
MGNT;D;230516;000000;4537;4659;4524.5;4614;276748
MGNT;D;230517;000000;4619.5;4645;4556;4605.5;146027
MGNT;D;230518;000000;4611;4619;4564;4578.5;117594
MGNT;D;230519;000000;4579;4648;4558;4619;158047
MGNT;D;230522;000000;4640.5;4678.5;4612.5;4631;281571
MGNT;D;230523;000000;4629;4652;4406;4419;727692
MGNT;D;230524;000000;4315.5;4424.5;4136;4208.5;3385601
MGNT;D;230525;000000;4187;4194.5;3965;4040;2210037
MGNT;D;230526;000000;4039;4178.5;3992;4139;1406805
MGNT;D;230529;000000;4151;4166;4044;4121;740016
MGNT;D;230530;000000;4170;4284.5;4134.5;4178;1184971
MGNT;D;230531;000000;4179.5;4294.5;4087;4293.5;731977
MGNT;D;230601;000000;4368.5;4390;4310;4370;1026986
MGNT;D;230602;000000;4375;4381.5;4285.5;4323.5;576408
MGNT;D;230605;000000;4335.5;4337;4181;4213.5;518361
MGNT;D;230606;000000;4211;4262.5;4140;4234.5;407206
MGNT;D;230607;000000;4248.5;4286;4213;4250.5;324888
MGNT;D;230608;000000;4238;4289;4220;4260;198827
MGNT;D;230609;000000;4260;4267.5;4229;4230;149778
MGNT;D;230613;000000;4251;4374;4239.5;4365;379179
MGNT;D;230614;000000;4369;4383.5;4320;4351;302432
MGNT;D;230615;000000;4356;4540;4321;4513;1289968
MGNT;D;230616;000000;4508;4940;4462.5;4896.5;3035341
MGNT;D;230619;000000;4988.5;5138;4877;4885;2674769
MGNT;D;230620;000000;4884.5;4926.5;4818;4898;791101
MGNT;D;230621;000000;4901.5;4998;4860;4982.5;584228
MGNT;D;230622;000000;4981;4993.5;4874.5;4901;414625
MGNT;D;230623;000000;4883;4918;4690.5;4725;714717
MGNT;D;230626;000000;4831.5;4881;4601.5;4779.5;858636
MGNT;D;230627;000000;4790;4880;4751;4837.5;370382
