<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;230202;000000;344;344.95;341.45;342.1;1673667
ROSN;D;230203;000000;341.95;343.75;339;341.85;1672596
ROSN;D;230206;000000;341.45;347.95;341.1;347.1;2995646
ROSN;D;230207;000000;348;358.15;346.75;355.25;5376588
ROSN;D;230208;000000;355.75;359.35;348.05;349.85;4770176
ROSN;D;230209;000000;359.25;359.3;347.05;350.2;2588044
ROSN;D;230210;000000;349.1;351.8;347.3;351;1610662
ROSN;D;230213;000000;350.25;355;349.2;349.4;1646336
ROSN;D;230214;000000;349.8;350.4;343.5;344.2;3186088
ROSN;D;230215;000000;343.45;346;334.4;339.6;3431162
ROSN;D;230216;000000;341.25;344.95;340.55;342.55;1701978
ROSN;D;230217;000000;341.65;346.8;339.4;345.1;1785199
ROSN;D;230220;000000;345.1;348.45;339;347.1;2425494
ROSN;D;230221;000000;347;354.6;347;352.65;3527598
ROSN;D;230222;000000;352.7;354.65;349.4;353.75;1608221
ROSN;D;230224;000000;354.1;355.65;350.15;352.45;1163806
ROSN;D;230227;000000;350.75;359;350.35;357.75;2345050
ROSN;D;230228;000000;357.75;361.35;356.35;358.4;2607421
ROSN;D;230301;000000;359.15;364.45;358.6;361.4;2677111
ROSN;D;230302;000000;361.55;361.9;354.15;355.05;3621043
ROSN;D;230303;000000;354.2;359.6;354.2;358.8;1633385
ROSN;D;230306;000000;361.8;365.95;359.8;365.35;2468996
ROSN;D;230307;000000;365.4;366;362.75;364.3;2050678
ROSN;D;230309;000000;364.95;366.45;362.65;364;1634522
ROSN;D;230310;000000;363;366.55;359.55;365.9;2267757
ROSN;D;230313;000000;366.25;368.25;360.05;363.5;3128959
ROSN;D;230314;000000;362.4;371;362;364.55;2797705
ROSN;D;230315;000000;364.85;367.9;355.5;357.95;3624140
ROSN;D;230316;000000;357.4;359.5;353.2;359.2;2199481
ROSN;D;230317;000000;360.3;366;357.25;365.2;4449517
ROSN;D;230320;000000;366.3;380;364.65;377.4;6743530
ROSN;D;230321;000000;379.45;384.7;367.65;371.8;6548585
ROSN;D;230322;000000;371.65;379.7;368.25;375.5;3341038
ROSN;D;230323;000000;375.75;378.05;371.8;374.45;1740017
ROSN;D;230324;000000;375.15;378;373.4;377.25;1229053
ROSN;D;230327;000000;378.6;384.95;377.65;383.25;2926400
ROSN;D;230328;000000;384.15;384.55;377.65;381.5;2267865
ROSN;D;230329;000000;382.6;386.65;378.15;385.45;3172485
ROSN;D;230330;000000;385.6;387.85;383;386.15;1695216
ROSN;D;230331;000000;386.5;386.9;376.1;380.9;3095377
ROSN;D;230403;000000;393.8;396;388.1;390.9;6287163
ROSN;D;230404;000000;391.75;394.1;387.25;390;3240344
ROSN;D;230405;000000;390.3;391.95;382.15;389.7;2649736
ROSN;D;230406;000000;390.05;393.4;388.6;389.8;2656065
ROSN;D;230407;000000;390.75;392.2;386.65;391.7;1793265
ROSN;D;230410;000000;391.9;395.45;391.2;393.5;2506465
ROSN;D;230411;000000;394.65;397.45;385.1;388.35;3439379
ROSN;D;230412;000000;388.65;391.9;388.1;390.9;1481347
ROSN;D;230413;000000;391.65;391.8;387.3;390.1;1102799
ROSN;D;230414;000000;390;394;385.25;392.4;2198781
ROSN;D;230417;000000;394;395.95;392.6;395.85;2063995
ROSN;D;230418;000000;396;398.85;393.85;397;2295714
ROSN;D;230419;000000;397.3;402.95;394.9;396.1;4245021
ROSN;D;230420;000000;395.75;399;390.05;396.5;3420740
ROSN;D;230421;000000;397.75;401;394.55;398.75;1853982
ROSN;D;230424;000000;398.35;400.95;396.8;400.4;1468056
ROSN;D;230425;000000;399.8;400.75;395;396.45;1324609
ROSN;D;230426;000000;396.3;399.5;395.45;395.75;1228446
ROSN;D;230427;000000;396.05;398.6;394.35;398.25;1296634
ROSN;D;230428;000000;398.95;399.75;393.3;393.8;2142986
ROSN;D;230502;000000;393.95;395.8;387.5;390;2594432
ROSN;D;230503;000000;390.05;390.15;377.05;378;2927388
ROSN;D;230504;000000;378.3;382.1;376;379.95;1920188
ROSN;D;230505;000000;379.5;383;376;378.65;1808969
ROSN;D;230508;000000;379.9;382.6;378.75;381.1;676469
ROSN;D;230510;000000;380.95;393.45;380.05;392.1;2254064
ROSN;D;230511;000000;392.55;398.95;387.4;391.65;4191772
ROSN;D;230512;000000;391.8;398.95;390.7;398.95;2476168
ROSN;D;230515;000000;399;409;397.15;407.85;4892364
ROSN;D;230516;000000;408.9;413.8;405.25;410.75;3074107
ROSN;D;230517;000000;410.8;418.95;406.05;414.8;2878133
ROSN;D;230518;000000;416.15;417;411.25;414.1;2790932
ROSN;D;230519;000000;414.25;415.95;410.15;413.65;2376135
ROSN;D;230522;000000;417;428.35;414.2;424.5;4214249
ROSN;D;230523;000000;425.2;427.85;419.4;424.8;3056110
ROSN;D;230524;000000;425.25;440;422.9;436;5451954
ROSN;D;230525;000000;437.85;438.7;428.55;430.15;5200097
ROSN;D;230526;000000;428.85;434.65;425.3;432.9;3217862
ROSN;D;230529;000000;435.35;441.7;435;440.45;4293959
ROSN;D;230530;000000;437.95;444.5;431;434.5;6063258
ROSN;D;230531;000000;433.6;451.75;431.3;450.1;9672031
ROSN;D;230601;000000;452.05;458.85;448;451.5;5614408
ROSN;D;230602;000000;453.5;459;452.3;458.95;3256858
ROSN;D;230605;000000;466;472.45;454.5;458.6;7136698
ROSN;D;230606;000000;457.15;464.9;449.25;462.1;3966640
ROSN;D;230607;000000;462.15;467.95;455.8;459.85;3226315
ROSN;D;230608;000000;459.9;463.8;456;458.15;1744934
ROSN;D;230609;000000;459.45;464.25;456.75;463.5;2768614
ROSN;D;230613;000000;465.6;480;464.7;479.85;5943556
ROSN;D;230614;000000;481.95;482.85;475.2;478.4;3811387
ROSN;D;230615;000000;479.2;482;475.5;481.75;4196826
ROSN;D;230616;000000;482.25;483.7;477.3;480.4;2314326
ROSN;D;230619;000000;482.4;486.4;478;485.85;3935767
ROSN;D;230620;000000;486.95;489.65;475.65;483.4;3786462
ROSN;D;230621;000000;482.5;485.7;478.8;481.35;2000281
ROSN;D;230622;000000;481.45;482.95;470.55;475.45;2304212
ROSN;D;230623;000000;474.3;481;466.1;467.55;5051402
ROSN;D;230626;000000;470.15;479.35;463.95;474.4;3776916
ROSN;D;230627;000000;475.85;480;470.45;475.85;3129590
ROSN;D;230628;000000;476;478.95;474.15;477.05;1830009
ROSN;D;230629;000000;477.15;483.8;477;482.1;3360300
ROSN;D;230630;000000;482.75;484.5;480.7;482.35;1741581
ROSN;D;230703;000000;483.6;484.5;476.55;478.05;2565081
ROSN;D;230704;000000;478.3;479.15;467.6;473.4;2830233
ROSN;D;230705;000000;474.2;478.5;472.25;473.9;2546844
ROSN;D;230706;000000;473.5;480;473.5;476.75;3392491
ROSN;D;230707;000000;476;482.95;474.5;482.4;4037618
ROSN;D;230710;000000;470.1;477.95;470;477.45;4504388
ROSN;D;230711;000000;477.5;479.45;475.75;478.8;1451978
ROSN;D;230712;000000;478.75;487.85;477.95;487.05;4910749
ROSN;D;230713;000000;489.2;495.8;482.3;488.4;4482654
ROSN;D;230714;000000;487.55;489.95;484.3;487.65;1888727
ROSN;D;230717;000000;486;491.8;484;489.3;2939269
ROSN;D;230718;000000;489.2;492.6;488.6;490.15;2392982
ROSN;D;230719;000000;491;492.05;482.55;485.95;2571885
ROSN;D;230720;000000;485.9;487;475;475.1;2900014
ROSN;D;230721;000000;475.8;483.95;475.35;483.2;2824129
ROSN;D;230724;000000;483.2;484.5;480;481.6;1654705
ROSN;D;230725;000000;482.4;492.2;481.45;489.15;3236083
ROSN;D;230726;000000;488.9;491.3;486.15;486.9;2048979
ROSN;D;230727;000000;487.55;494.95;487.55;493.75;2333583
ROSN;D;230728;000000;493.8;501;492.4;500.65;3920035
ROSN;D;230731;000000;502.7;510;502.1;508.75;3834835
ROSN;D;230801;000000;509.6;518.7;502.6;516.7;5152643
ROSN;D;230802;000000;517.55;523.8;512.05;522.95;4550961
ROSN;D;230803;000000;522.7;528.95;518.6;526.7;3156368
ROSN;D;230804;000000;527.2;539.15;511.5;521.95;6544046
ROSN;D;230807;000000;526.1;540.8;518.2;524.6;6440156
ROSN;D;230808;000000;523.75;528.4;517.55;527.9;2858096
ROSN;D;230809;000000;528.95;533.95;525.3;533.2;2724749
ROSN;D;230810;000000;534.45;537.9;532.5;535.2;2141148
ROSN;D;230811;000000;536.05;549.6;530.15;549;5879034
ROSN;D;230814;000000;551.05;565;536.6;539.75;10326696
ROSN;D;230815;000000;537;560.85;531;546.3;8500778
ROSN;D;230816;000000;546.35;550.8;523.7;532.95;6233100
ROSN;D;230817;000000;538.15;544.9;532;544.45;4602170
ROSN;D;230818;000000;543.95;548.65;540.15;548.2;2570507
ROSN;D;230821;000000;549;553;545.05;547.45;2196064
ROSN;D;230822;000000;547.8;550.45;542.3;549.5;2557733
ROSN;D;230823;000000;549.75;551;529.55;534.5;4531574
ROSN;D;230824;000000;536.95;541.5;533.35;539.8;1952825
ROSN;D;230825;000000;540.8;541.5;536.2;538.85;1542455
ROSN;D;230828;000000;540.05;546;537.5;545.55;2723570
ROSN;D;230829;000000;545.3;559.3;539.05;558.3;4392896
ROSN;D;230830;000000;561.55;564.4;550.65;556.9;6048998
ROSN;D;230831;000000;557.2;558.45;553.55;556.15;2576867
ROSN;D;230901;000000;556.35;559.65;553.05;559.15;2652237
ROSN;D;230904;000000;559.9;568.8;559.9;567.25;4176962
ROSN;D;230905;000000;568;575.75;565.05;574.4;6384802
ROSN;D;230906;000000;574.55;582.25;570.15;578.8;4775600
ROSN;D;230907;000000;578.8;584;555.25;564.6;7003656
ROSN;D;230908;000000;564.6;567.45;552.6;557.95;3257031
ROSN;D;230911;000000;557.45;558.25;542.05;549.1;4172188
ROSN;D;230912;000000;552;562.8;551.7;562;3053566
ROSN;D;230913;000000;563.25;563.45;553;555.15;1797711
ROSN;D;230914;000000;555.15;559;541.2;556.3;3338884
ROSN;D;230915;000000;556.6;563;551.7;562.8;3232633
ROSN;D;230918;000000;565;570.9;556.1;557.1;2842302
ROSN;D;230919;000000;558.25;559.95;542.95;544;3683245
ROSN;D;230920;000000;544;549.7;527.35;529.35;9812683
ROSN;D;230921;000000;527.95;528;504.2;508;15081435
ROSN;D;230922;000000;510.25;515.8;497.75;513.9;11587463
ROSN;D;230925;000000;513.9;523;510;520.65;5781473
ROSN;D;230926;000000;518.9;519.9;508.15;517.85;4174807
ROSN;D;230927;000000;520.3;531.25;519.4;529.95;4975773
ROSN;D;230928;000000;531.4;537;530.5;535.7;3952262
ROSN;D;230929;000000;536;539.4;532.3;537;3177517
ROSN;D;231002;000000;538.55;544.35;534.55;535.55;4048595
ROSN;D;231003;000000;534.65;540.65;526.9;538.9;3193793
ROSN;D;231004;000000;538.05;543.25;533.6;533.95;3434001
ROSN;D;231005;000000;536;539.6;530.3;534.7;2482933
ROSN;D;231006;000000;534.6;537.65;530;534.2;2954584
ROSN;D;231009;000000;541.15;553.2;538.6;552.5;6925700
ROSN;D;231010;000000;552.45;554.5;547.05;549;2938061
ROSN;D;231011;000000;549.5;559.65;537.3;540.35;6375337
ROSN;D;231012;000000;538.45;548.7;535;546.05;4047855
ROSN;D;231013;000000;546.65;562;545.4;561.85;4963528
ROSN;D;231016;000000;564;569.95;561.05;568.65;5012267
ROSN;D;231017;000000;568.8;574.5;563.15;573.05;4284992
ROSN;D;231018;000000;574.95;589.9;573.55;586.8;9688002
ROSN;D;231019;000000;586;596.25;580.55;595.25;5938288
ROSN;D;231020;000000;596.1;605.25;586.7;602.9;7851079
ROSN;D;231023;000000;601;607.8;590.35;593.3;5966497
ROSN;D;231024;000000;593;593.2;584.5;586.2;3865069
ROSN;D;231025;000000;585;593.4;580.7;590.5;4230089
ROSN;D;231026;000000;590.85;594.5;582.65;583;3471675
ROSN;D;231027;000000;584.5;597.95;576;594.6;6830853
ROSN;D;231030;000000;593.1;593.1;586.15;587.2;2797942
ROSN;D;231031;000000;586.2;588.4;571.4;574.55;4764688
ROSN;D;231101;000000;573.9;586.3;573.7;579.5;4121266
ROSN;D;231102;000000;581.25;589.75;580.75;586.25;3424614
ROSN;D;231103;000000;588.4;590;577.8;581.5;3687213
ROSN;D;231106;000000;582.1;589;580.6;588.95;1890640
ROSN;D;231107;000000;588.5;589;583.6;583.95;2185463
ROSN;D;231108;000000;583.95;587.85;581.05;581.65;2301486
ROSN;D;231109;000000;581.45;587.55;576;583.1;3371644
ROSN;D;231110;000000;583.45;601.45;583;598.3;9597029
ROSN;D;231113;000000;600;601.85;593.75;598.3;4281542
ROSN;D;231114;000000;597.8;598.95;581.35;591.3;4639294
ROSN;D;231115;000000;589.8;590.7;580.1;585;5202737
ROSN;D;231116;000000;583.45;587;570.35;572.75;3571358
ROSN;D;231117;000000;572.55;583.4;568.55;583.3;4816033
ROSN;D;231120;000000;584.4;586.15;579.85;581.5;2169737
ROSN;D;231121;000000;580.9;584.6;576.4;583.4;2113369
