<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATN;D;230202;000000;328;329.1;326.1;326.6;1291167
TATN;D;230203;000000;326.3;326.5;321.7;323.9;2232387
TATN;D;230206;000000;323.9;325.9;323.1;325.5;1777834
TATN;D;230207;000000;325.5;326.6;321.9;323.8;2858010
TATN;D;230208;000000;323.6;324.2;322.1;324.2;2586918
TATN;D;230209;000000;325.6;328.7;323.5;324.4;2504385
TATN;D;230210;000000;324.1;324.8;322.5;323.5;1582074
TATN;D;230213;000000;324.1;327.9;323;325.3;3691267
TATN;D;230214;000000;325.5;327.5;323.2;326.4;1789613
TATN;D;230215;000000;325.1;325.1;310;313.8;4342743
TATN;D;230216;000000;315.7;320;312.1;315.6;2017544
TATN;D;230217;000000;314.9;319.3;314.3;316.6;1593484
TATN;D;230220;000000;317.1;317.2;311;314.1;2179665
TATN;D;230221;000000;314.1;318.8;313.4;315.8;3206092
TATN;D;230222;000000;315.9;315.9;312.2;313.4;1803722
TATN;D;230224;000000;313.5;314.6;312;312.6;1359278
TATN;D;230227;000000;311.9;318;310;316.1;1963335
TATN;D;230228;000000;315;330.7;314.9;328.3;7303108
TATN;D;230301;000000;328.1;335.5;325.1;334.8;8116185
TATN;D;230302;000000;334.7;337.8;328;330.2;5761009
TATN;D;230303;000000;331.1;335.2;330;334.9;2875047
TATN;D;230306;000000;336;340;335.5;337.6;4086083
TATN;D;230307;000000;338;338.4;334.9;336;2514573
TATN;D;230309;000000;336.8;337.3;333.5;335.2;2071759
TATN;D;230310;000000;334;335.2;331.3;333.3;1734363
TATN;D;230313;000000;334.2;335.7;328.2;334.7;2862623
TATN;D;230314;000000;333.1;341.3;332.6;339;3056457
TATN;D;230315;000000;339.8;343;335.5;337.6;2464119
TATN;D;230316;000000;337.3;339.8;333.7;336.3;2385338
TATN;D;230317;000000;335.9;348.9;334.5;347.8;5989371
TATN;D;230320;000000;349;357.5;345.3;355;6078775
TATN;D;230321;000000;355.1;356.5;350.2;350.8;3464177
TATN;D;230322;000000;350.9;351.8;348.2;350.4;2186267
TATN;D;230323;000000;349.9;350.5;343.1;344.6;3851930
TATN;D;230324;000000;344;349.5;343.6;349.3;1538797
TATN;D;230327;000000;350.8;363.9;350.5;363.4;5045158
TATN;D;230328;000000;364.3;368.5;357.5;367.1;3486781
TATN;D;230329;000000;368.5;369.5;365;367.8;2491956
TATN;D;230330;000000;367;379.4;365.3;375.2;3427995
TATN;D;230331;000000;375.2;377.9;366.8;373.7;3248799
TATN;D;230403;000000;383;389;378.5;386.8;3979192
TATN;D;230404;000000;387.1;389;381.6;382.7;2553030
TATN;D;230405;000000;381.5;388;376.2;387.3;2252244
TATN;D;230406;000000;388;391.5;386.1;389.5;2178600
TATN;D;230407;000000;390.5;396.9;389.5;396.2;2656286
TATN;D;230410;000000;399.7;405;398.1;402.8;2355069
TATN;D;230411;000000;402.9;403.4;391.6;393.8;2840375
TATN;D;230412;000000;395.1;397.9;387.1;395.4;2159663
TATN;D;230413;000000;396;397.5;392.3;394.5;971570
TATN;D;230414;000000;394.9;396;391;394.4;1217396
TATN;D;230417;000000;396.2;400;394.2;399.3;2368574
TATN;D;230418;000000;400;402.3;396;400.2;1827568
TATN;D;230419;000000;399;400.3;393.1;396.4;2078767
TATN;D;230420;000000;396;413;388.1;407.3;5079746
TATN;D;230421;000000;407.3;409.7;404.8;406.3;1317886
TATN;D;230424;000000;406.3;415.7;405.8;411.7;2967658
TATN;D;230425;000000;412.3;413;406.8;408.8;1444725
TATN;D;230426;000000;409.3;410.8;406.3;407.4;1746877
TATN;D;230427;000000;408.2;418.6;407.9;411.8;5886123
TATN;D;230428;000000;413;413.7;401;404;2882837
TATN;D;230502;000000;405.4;406.8;394.5;397.1;2658909
TATN;D;230503;000000;395.3;396.3;380;381.8;3555973
TATN;D;230504;000000;382;391.5;381.8;388;2005571
TATN;D;230505;000000;388.5;388.6;379.5;383;2182522
TATN;D;230508;000000;384.3;396.6;383.6;391.9;1715392
TATN;D;230510;000000;392.4;403;392.4;402.4;2987316
TATN;D;230511;000000;402.9;406.9;390.7;398.7;2817491
TATN;D;230512;000000;400;403.4;395.6;400.7;1477915
TATN;D;230515;000000;402.9;406.3;401.5;406;2434943
TATN;D;230516;000000;407;410;404.4;406.8;1848583
TATN;D;230517;000000;407;408.4;404;405.4;1505561
TATN;D;230518;000000;406.3;412.8;404.4;411.7;1940171
TATN;D;230519;000000;412;412;407;410.3;1291532
TATN;D;230522;000000;412.1;417.7;409.9;416.5;2188984
TATN;D;230523;000000;416.7;428.7;413.6;427.3;2667168
TATN;D;230524;000000;428.5;431;426;429.4;2013817
TATN;D;230525;000000;429.7;429.8;422.5;426.4;1457283
TATN;D;230526;000000;426.5;432;424.4;429.5;1657902
TATN;D;230529;000000;434.2;443;429.5;441.7;2690271
TATN;D;230530;000000;439.9;448.4;435.6;438.9;4323332
TATN;D;230531;000000;437.9;444.5;436.3;443.2;1494906
TATN;D;230601;000000;444.5;452;443.9;450.3;2270669
TATN;D;230602;000000;450.5;463.9;450.5;463.7;2366640
TATN;D;230605;000000;471.5;486;468.7;475;6600339
TATN;D;230606;000000;474.8;478.7;462.7;473;3769185
TATN;D;230607;000000;474.5;474.9;465.2;470.7;1691329
TATN;D;230608;000000;470.7;475.8;466.3;470.9;1725313
TATN;D;230609;000000;471.4;474;468.8;472.4;1566776
TATN;D;230613;000000;473.8;481.9;473.2;481;1987034
TATN;D;230614;000000;482.2;488.5;481.1;488.1;2899571
TATN;D;230615;000000;489.2;515.6;488.2;515;7688621
TATN;D;230616;000000;516.3;521;505.7;511.7;5276848
TATN;D;230619;000000;507.7;509.7;499;503.6;4577004
TATN;D;230620;000000;503.9;506.8;494;503.6;2747634
TATN;D;230621;000000;504.5;505.1;500.6;503.3;1529577
TATN;D;230622;000000;503.3;511.4;501;504.3;1794668
TATN;D;230623;000000;503.9;508.5;486.6;494.6;2748060
TATN;D;230626;000000;499.2;505;490;498.5;2728075
TATN;D;230627;000000;498.5;501.7;495.1;497.9;1856142
TATN;D;230628;000000;499;502;498.1;500;1485735
TATN;D;230629;000000;500.2;509.5;499;507.7;2328442
TATN;D;230630;000000;508;509.8;502.1;505.7;2272834
TATN;D;230703;000000;505.9;507.8;499.2;500.1;1783996
TATN;D;230704;000000;500.1;500.7;491.8;493.4;2385565
TATN;D;230705;000000;494.9;502.6;494.4;501.7;2267163
TATN;D;230706;000000;501.9;502.7;498.7;499.2;1715330
TATN;D;230707;000000;497.5;502;496.1;501;3609925
TATN;D;230710;000000;476.6;489.2;475.2;487.9;5305834
TATN;D;230711;000000;487.9;492.3;486.2;490.7;1726916
TATN;D;230712;000000;492;497.8;488.7;495.6;1849020
TATN;D;230713;000000;496;499.6;493.5;494.7;1774766
TATN;D;230714;000000;493.5;497;492;496;1252285
TATN;D;230717;000000;494;499.3;493.1;496.4;2004527
TATN;D;230718;000000;496.7;498.6;495.6;497.7;1231304
TATN;D;230719;000000;497.7;498.5;495.3;496.5;989584
TATN;D;230720;000000;496.5;496.9;487.1;488.6;1939080
TATN;D;230721;000000;489.5;495.2;488;494.7;1700257
TATN;D;230724;000000;495;498.8;493.3;498.1;1138445
TATN;D;230725;000000;499;512.2;498.3;509.3;3603318
TATN;D;230726;000000;509.4;513.5;502.5;506.4;2191263
TATN;D;230727;000000;507.9;512.6;506.1;509.4;1995259
TATN;D;230728;000000;509.7;519.8;506.9;516.5;2539718
TATN;D;230731;000000;519.4;525.5;516.3;523.5;3388929
TATN;D;230801;000000;525;531.6;518.7;526.5;2857673
TATN;D;230802;000000;526.7;540.1;521.9;537.5;3778773
TATN;D;230803;000000;539;549.3;531.6;547.7;2996416
TATN;D;230804;000000;548;572;527;541.9;7900800
TATN;D;230807;000000;546;565.6;542.3;548.7;5893862
TATN;D;230808;000000;549.1;557.2;542;555.5;3657593
TATN;D;230809;000000;557;569.8;552.5;569.5;3087255
TATN;D;230810;000000;571.7;579.5;571;574.9;3896703
TATN;D;230811;000000;575.9;579;567.7;577.4;2712731
TATN;D;230814;000000;587.2;598.2;556.9;576.3;9942630
TATN;D;230815;000000;575.5;590;564.6;574;4974567
TATN;D;230816;000000;575;581.5;551.5;563;5067784
TATN;D;230817;000000;565;570;558.7;568.2;2668401
TATN;D;230818;000000;568.5;576.7;563.4;575.1;2113690
TATN;D;230821;000000;578.7;587.3;577.6;584.6;3043199
TATN;D;230822;000000;584;592.5;581;590.3;3323275
TATN;D;230823;000000;591.9;593.9;571.4;575.9;3920287
TATN;D;230824;000000;576;584.6;574.3;581.6;1728800
TATN;D;230825;000000;583;587.8;578;587.7;1998576
TATN;D;230828;000000;589.2;590.4;584.2;587.5;2383887
TATN;D;230829;000000;588.3;589.9;584.4;586.5;2665193
TATN;D;230830;000000;586.9;592.3;585.5;589.4;2550729
TATN;D;230831;000000;592;595.5;587.1;590.2;2610825
TATN;D;230901;000000;591;594;587.3;593;1983186
TATN;D;230904;000000;595.2;603.5;594.6;602.5;2702107
TATN;D;230905;000000;603.4;609.7;597;607.2;3302010
TATN;D;230906;000000;607.3;612.5;602.8;608.8;2480215
TATN;D;230907;000000;608.8;620.5;583;603.7;8281276
TATN;D;230908;000000;603.7;606.5;589.7;595.5;3203149
TATN;D;230911;000000;597;600;583.1;588.4;2500266
TATN;D;230912;000000;588.8;606.8;587.1;606.6;2582829
TATN;D;230913;000000;608.4;613;602.6;604.7;2463294
TATN;D;230914;000000;606.4;608;593;602.5;2607942
TATN;D;230915;000000;602.6;615;600.2;614.8;2857255
TATN;D;230918;000000;619;628.1;616.4;626.2;4173971
TATN;D;230919;000000;627.5;630;605.2;610.1;4762399
TATN;D;230920;000000;610.8;620.7;601.8;611.8;4011276
TATN;D;230921;000000;612;615.7;593.6;597.6;3688368
TATN;D;230922;000000;597;611;588.1;610.8;3202192
TATN;D;230925;000000;607.4;608.9;598.5;604.6;1475824
TATN;D;230926;000000;604.6;607.4;595.2;603.4;1806324
TATN;D;230927;000000;605.1;615.7;604.7;615.3;1446610
TATN;D;230928;000000;616.7;623.1;613.6;619.4;2646811
TATN;D;230929;000000;620;625.4;612.2;625.4;2292600
TATN;D;231002;000000;627.9;639.7;625.9;639.3;3594427
TATN;D;231003;000000;639;641.4;631;639.1;3108700
TATN;D;231004;000000;639.5;643.1;633.7;634.2;2184705
TATN;D;231005;000000;634.4;638.6;631;633.8;1709639
TATN;D;231006;000000;635.1;641.4;630.4;638;2361534
TATN;D;231009;000000;640.2;647.2;639.2;643.7;3790438
TATN;D;231010;000000;645.1;650;642.1;649.5;4253519
TATN;D;231011;000000;624.3;633;617;618.8;9920438
TATN;D;231012;000000;616.8;622.6;608.5;617.6;5467575
TATN;D;231013;000000;618.9;630;615.2;628.3;4542875
TATN;D;231016;000000;634.9;637.5;625.1;628.9;4825164
TATN;D;231017;000000;629.5;630;626.1;628.5;1622970
TATN;D;231018;000000;629.6;637.9;623.2;632.3;4698609
TATN;D;231019;000000;631;634.2;627.5;633.1;1583687
TATN;D;231020;000000;633.8;633.8;625.5;630.4;1955726
TATN;D;231023;000000;630.8;632;624.1;626.6;1263568
TATN;D;231024;000000;626.7;627.8;620;625.5;1171376
TATN;D;231025;000000;624.4;625;618.2;622.3;1729490
TATN;D;231026;000000;622.7;626.4;613;613.6;1882472
TATN;D;231027;000000;613.5;623.3;612.2;622.4;1894344
TATN;D;231030;000000;622.4;624.9;617.3;621.2;1277448
TATN;D;231031;000000;621.2;621.9;602.5;607.6;2471272
TATN;D;231101;000000;609;613.7;595;606.3;2211109
TATN;D;231102;000000;607.9;610.1;601.1;602.7;1612986
TATN;D;231103;000000;603.1;604.8;596;601.7;1813679
TATN;D;231106;000000;602.1;609.8;600;609.7;915444
TATN;D;231107;000000;609.9;613;604.2;611.2;1362887
TATN;D;231108;000000;611.1;620;608.2;614.5;1970275
TATN;D;231109;000000;616;619.4;611.1;615.2;1137365
TATN;D;231110;000000;617.1;620.5;614.1;620;1114366
TATN;D;231113;000000;620.1;623.3;615.9;616.3;1310963
